Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Data ST,Surface ET/End Time,n2,dtype
2388.730415677,2388.730561131,2388.7322783,2388.739729194,2388.741265654,2389.032946389,1200,float64
2389.291892957,2389.292022989,2389.293599869,2389.301050467,2389.302455562,2389.585203589,1200,float64
2389.844401065,2389.844513708,2389.846105787,2389.853894709,2389.855346383,2390.139317057,1200,float64
2390.402868005,2390.402988789,2390.404740076,2390.4128116,2390.414235733,2390.706953459,1200,float64
2390.964018075,2390.964139691,2390.965918645,2390.973591645,2390.975095203,2391.261254914,1200,float64
2391.517137368,2391.517253752,2391.518866418,2391.52619911,2391.527625008,2391.814381971,1200,float64
2392.068189224,2392.068309726,2392.070073358,2392.077854676,2392.079374928,2392.366253486,1200,float64
2392.614486106,2392.61459505,2392.616174817,2392.623680384,2392.625087379,2392.908497085,1200,float64
2393.159519804,2393.159631324,2393.161181686,2393.168471457,2393.169933071,2393.459997539,1200,float64
2393.716912848,2393.717041393,2393.718645023,2393.726033663,2393.727436173,2394.011631061,1200,float64
2450.480189715,2450.480304531,2450.481948541,2450.489386252,2450.490812798,2450.756223374,1200,float32
2451.095442061,2451.095560136,2451.097222178,2451.104587634,2451.105975099,2451.357739719,1200,float32
2451.69725628,2451.697373196,2451.698952237,2451.706257475,2451.707668176,2451.962845126,1200,float32
2452.302471344,2452.302592304,2452.304135353,2452.311439304,2452.312807522,2452.564977903,1200,float32
2452.904115777,2452.904231386,2452.905763124,2452.912986028,2452.914369879,2453.169552738,1200,float32
2453.505287913,2453.505403925,2453.507063875,2453.514392287,2453.515811518,2453.769498216,1200,float32
2454.108794782,2454.10890758,2454.110491768,2454.118161571,2454.119564889,2454.373294193,1200,float32
2454.70867385,2454.708795762,2454.710442542,2454.717684931,2454.719129686,2454.974954749,1200,float32
2455.314639145,2455.314763812,2455.316365395,2455.323665248,2455.325060507,2455.577755189,1200,float32
2455.913484,2455.913601632,2455.915200024,2455.92257658,2455.923943835,2456.174911858,1200,float32
2489.824457796,2489.824570433,2489.826362298,2489.839951325,2489.842495797,2490.709258347,2500,float64
2491.130301524,2491.130424689,2491.132298524,2491.147044342,2491.149854479,2491.980116773,2500,float64
2492.403836504,2492.403952614,2492.405680848,2492.419744412,2492.422342358,2493.248452352,2500,float64
2493.667056556,2493.667168022,2493.668846745,2493.682488412,2493.685107303,2494.498320196,2500,float64
2494.91957864,2494.919739848,2494.921561711,2494.936366873,2494.938937304,2495.751640148,2500,float64
2496.172279321,2496.172389704,2496.174121396,2496.188013575,2496.190719906,2497.016032222,2500,float64
2497.424367351,2497.424476149,2497.426151703,2497.43981746,2497.442458011,2498.257503206,2500,float64
2498.683480258,2498.683592947,2498.685342393,2498.699426077,2498.702086983,2499.526860088,2500,float64
2499.955613956,2499.955753099,2499.957473647,2499.971277002,2499.973956693,2500.830708754,2500,float64
2501.253914366,2501.254038556,2501.255725528,2501.269369703,2501.271971959,2502.088208846,2500,float64
2536.948122406,2536.948237121,2536.94993956,2536.96349605,2536.966028571,2537.673643901,2500,float32
2538.062249735,2538.062367226,2538.064096511,2538.077713917,2538.080338372,2538.8032149,2500,float32
2539.185672762,2539.185782468,2539.187423706,2539.20097996,2539.203546191,2539.919805515,2500,float32
2540.305585263,2540.305707537,2540.307360768,2540.321238058,2540.323739218,2541.054488708,2500,float32
2541.434697002,2541.434812621,2541.436541758,2541.45038799,2541.452927634,2542.170699681,2500,float32
2542.564034853,2542.564153026,2542.56583763,2542.579365637,2542.581918822,2543.282965771,2500,float32
2543.672969222,2543.673107245,2543.674773054,2543.688682109,2543.691180632,2544.410909105,2500,float32
2544.79750132,2544.797610139,2544.799252005,2544.812868261,2544.815408126,2545.528113282,2500,float32
2545.923768969,2545.923879472,2545.925552258,2545.939369673,2545.941876175,2546.66220114,2500,float32
2547.056025624,2547.056140315,2547.057819695,2547.071395285,2547.073951532,2547.776623415,2500,float32
2580.339864054,2580.339974433,2580.341812085,2580.367969449,2580.372919296,2583.010605256,5000,float64
2583.617997696,2583.618121567,2583.619979682,2583.645795579,2583.650712161,2586.267417488,5000,float64
2586.876719861,2586.876834008,2586.87877837,2586.90508748,2586.909995287,2589.553181879,5000,float64
2590.151983777,2590.152115267,2590.154035288,2590.180159735,2590.185048874,2592.840146812,5000,float64
2593.455296297,2593.455401696,2593.457279755,2593.483103194,2593.487975805,2596.106081551,5000,float64
2596.71979347,2596.719915727,2596.721794716,2596.747963735,2596.752838791,2599.388875472,5000,float64
2599.996979654,2599.997107813,2599.998957709,2600.025076717,2600.029977483,2602.696907927,5000,float64
2603.311795227,2603.31190803,2603.313836524,2603.340195062,2603.345043002,2605.971221671,5000,float64
2606.586932401,2606.587060188,2606.588946387,2606.615232039,2606.620077943,2609.226527008,5000,float64
2609.844657507,2609.84477252,2609.846572452,2609.872524344,2609.877390765,2612.518953082,5000,float64
2704.875088913,2704.875207057,2704.877049723,2704.902978802,2704.9078716,2707.084824236,5000,float32
2707.581837809,2707.581952314,2707.583815502,2707.609543096,2707.614716689,2709.813984156,5000,float32
2710.311897905,2710.312033385,2710.313814277,2710.340561066,2710.345395097,2712.581634602,5000,float32
2713.082829836,2713.082947224,2713.084804064,2713.110984659,2713.115726752,2715.309286936,5000,float32
2715.795196546,2715.795316519,2715.797146926,2715.822831746,2715.827585344,2718.009095041,5000,float32
2718.510164674,2718.510290808,2718.51208542,2718.538021337,2718.542892093,2720.783434313,5000,float32
2721.282819563,2721.282963429,2721.284767727,2721.310574012,2721.315598332,2723.49036874,5000,float32
2723.984963787,2723.985093348,2723.987058876,2724.015358347,2724.020144892,2726.212841957,5000,float32
2726.706313445,2726.706429041,2726.708364507,2726.734537441,2726.739362581,2728.935673084,5000,float32
2729.435571008,2729.435689884,2729.437518673,2729.463094878,2729.467878428,2731.668311215,5000,float32
