run_idx,object,n1,n2,dtype,t_curves,t_h2d_transfer,t_kernel_surf_pts,t_d2h_transfer,t_total,peak_gpu_mem_mb
0,banana,300,1200,float64,0.0010981700000343153,0.00462327700000742,0.01859397999999146,0.049598283999955584,0.07391371099998878,136.0
1,banana,300,1200,float64,0.0010630310000010468,0.007822519000001193,0.018510577000029116,0.049894232999974975,0.07729036000000633,0.0
2,banana,300,1200,float64,0.000956834999954026,0.004070272000035402,0.01855053299999554,0.04811146999998073,0.0716891099999657,136.0
3,banana,300,1200,float64,0.0009760990000131642,0.0074932190000254195,0.018485499999997046,0.0495052730000225,0.07646009100005813,0.0
4,banana,300,1200,float64,0.0010349869999686234,0.0036317510000003494,0.018474092999952063,0.04975035699999353,0.07289118799991456,136.0
5,banana,300,1200,float64,0.0010474030000295897,0.004141060999984347,0.01642918400000326,0.048954040000012355,0.07057168800002955,136.0
6,banana,300,1200,float64,0.0010511309999969853,0.0037964539999961744,0.01644930300000169,0.048380711999982395,0.06967759999997725,136.0
7,banana,300,1200,float64,0.0010204600000065511,0.005692395000039596,0.016517457000020386,0.05695342899997513,0.08018374100004166,136.0
8,banana,300,1200,float64,0.0010074319999944237,0.004072167000003901,0.016404513999987103,0.049515718999998626,0.07099983199998405,136.0
9,banana,300,1200,float64,0.0010309190000157287,0.0038860250000425367,0.016490336000003936,0.05248167000002013,0.07388895000008233,136.0
0,banana,300,1200,float32,0.0010941739999452693,0.0052074630000333855,0.009950667999987672,0.05452113499995903,0.07077343999992536,136.0
1,banana,300,1200,float32,0.0012240130000691352,0.00802534399997512,0.009890091999977813,0.055557542999963516,0.07469699199998558,0.0
2,banana,300,1200,float32,0.001036958999975468,0.004622061999953075,0.009867041999996218,0.053470746000016334,0.0689968089999411,136.0
3,banana,300,1200,float32,0.0010673580000002403,0.010526217999995424,0.009898485000007895,0.0631224100000054,0.08461447100000896,0.0
4,banana,300,1200,float32,0.0012601150000364214,0.005262161999894488,0.00993509299996731,0.05891604299995379,0.07537341299985201,136.0
5,banana,300,1200,float32,0.0010239330000558766,0.006600618999982544,0.00990738500001953,0.05580732999999327,0.07333926700005122,136.0
6,banana,300,1200,float32,0.0010122610000280474,0.004901317999951971,0.009902499000077114,0.05928725600006146,0.0751033340001186,136.0
7,banana,300,1200,float32,0.001102751999951579,0.005198706999976821,0.009869721000086429,0.05421907100003409,0.07039025100004892,136.0
8,banana,300,1200,float32,0.0011534620000475115,0.004701784000076259,0.009964755999931185,0.05717793500002699,0.07299793700008195,136.0
9,banana,300,1200,float32,0.0011781630000768928,0.005258074999915152,0.009924078000040026,0.05585665399996742,0.07221696999999949,136.0
0,banana,625,2500,float64,0.0012012860000822911,0.003914009000027363,0.07346314199992321,0.21401724500003638,0.29259568200006925,574.0
1,banana,625,2500,float64,0.0007974060000606187,0.010175976000027731,0.06034520299999713,0.21077098199998545,0.28208956700007093,0.0
2,banana,625,2500,float64,0.001103925000052186,0.004156056000056196,0.04822533600008683,0.26391327999999703,0.31739859700019224,574.0
3,banana,625,2500,float64,0.0013606659999823023,0.011509859000057077,0.048266558000023,0.2490911039999446,0.310228187000007,0.0
4,banana,625,2500,float64,0.0012011430000029577,0.006945942000015748,0.03868591799994192,0.2368669840000166,0.2836999869999772,574.0
5,banana,625,2500,float64,0.0010847579999335721,0.005769189000034203,0.038775515999986965,0.24769516900005328,0.293324632000008,574.0
6,banana,625,2500,float64,0.0011916330000758535,0.006036172999984046,0.03218209999999999,0.24781023799994273,0.2872201440000026,574.0
7,banana,625,2500,float64,0.0012736919999269958,0.006431190999933278,0.032154832999935934,0.2522476320000351,0.2921073479998313,574.0
8,banana,625,2500,float64,0.0011609020000378223,0.007025617999943279,0.03221531400004096,0.2524669240000321,0.2928687580000542,574.0
9,banana,625,2500,float64,0.001290469999958077,0.006403524000006655,0.03225160699992102,0.25890858200000366,0.2988541829998894,574.0
0,banana,625,2500,float32,0.001188632999969741,0.004746349000015471,0.02494311500004187,0.21197419699990405,0.24285229399993113,574.0
1,banana,625,2500,float32,0.001260981999962496,0.008832593000079214,0.02576912799997899,0.21829362799996943,0.25415633099999013,0.0
2,banana,625,2500,float32,0.0011644009999827176,0.004173390000005384,0.024950508999950216,0.21367459999999028,0.2439628999999286,574.0
3,banana,625,2500,float32,0.0012738819999640327,0.008762874000012744,0.02581277499996304,0.21511591599994517,0.250965446999885,0.0
4,banana,625,2500,float32,0.0011222370000041337,0.004202648999921621,0.0248883479999904,0.21438883899998018,0.24460207299989634,574.0
5,banana,625,2500,float32,0.0015092749999894295,0.005787629999986166,0.02484205300004305,0.21223218800002996,0.2443711460000486,574.0
6,banana,625,2500,float32,0.0012878539999974237,0.005100864000041838,0.025164205000010043,0.2196734030000016,0.2512263260000509,574.0
7,banana,625,2500,float32,0.0013152950000403507,0.004758333999916431,0.025123622999899453,0.2262713719999283,0.25746862399978454,574.0
8,banana,625,2500,float32,0.0013799259999132119,0.0038604269999495955,0.02518286299994088,0.21926022000002376,0.24968343599982745,574.0
9,banana,625,2500,float32,0.001281739000091875,0.004378929999916181,0.025299232999941523,0.25961588500001653,0.2905757869999661,574.0
0,banana,1250,5000,float64,0.0013432630000806967,0.004982199999972181,0.13459666900007505,0.8583043240000734,0.9992264560002013,2292.0
1,banana,1250,5000,float64,0.0015133079999714028,0.013116044999947007,0.13690789200006748,0.8607991169999423,1.0123363619999282,2.0
2,banana,1250,5000,float64,0.0013739979999627394,0.005421986000101242,0.13471320400003606,0.8516735839999683,0.9931827720000683,2292.0
3,banana,1250,5000,float64,0.0013301199999204982,0.012993654999945647,0.13717822199998864,0.9345255980000502,1.086027594999905,0.0
4,banana,1250,5000,float64,0.0015396000000009735,0.007040388999939751,0.13559445800001413,0.9907186430000365,1.1348930899999914,2292.0
5,banana,1250,5000,float64,0.00143861799995193,0.009932822999985547,0.13684135400001196,0.9547672059999286,1.102980000999878,2292.0
6,banana,1250,5000,float64,0.0013076349999892045,0.007827861000009761,0.13525622800000292,0.8516939849999972,0.996085708999999,2292.0
7,banana,1250,5000,float64,0.001327505999938694,0.009446764999893276,0.13707390700005817,0.8517131250000602,0.9995613029999504,2292.0
8,banana,1250,5000,float64,0.0014177440000366914,0.007114587000046413,0.1354414459999589,0.8457299789999979,0.9897037560000399,2294.0
9,banana,1250,5000,float64,0.0013142899999820656,0.009985618000087015,0.13561230000004798,0.8501301200000171,0.9970423280001341,2292.0
0,banana,1250,5000,float32,0.00165684900002816,0.005329612999958044,0.10206714899993585,0.9360488479999276,1.0451024589998497,2292.0
1,banana,1250,5000,float32,0.001446773999987272,0.01366123399998287,0.10899359100005768,0.9775433859999794,1.1016449850000072,0.0
2,banana,1250,5000,float32,0.0016111459999592626,0.007256998000002568,0.10234513500006415,0.8539335320000419,0.9651468110000678,2292.0
3,banana,1250,5000,float32,0.0015253679999887026,0.013755321999951775,0.10910769200006598,0.837364717000014,0.9617530990000205,0.0
4,banana,1250,5000,float32,0.0014554509999697984,0.005353410999987318,0.10231049000003622,0.8376843370000415,0.9468036890000349,2292.0
5,banana,1250,5000,float32,0.001303860000007262,0.0076812959999870145,0.1110451079999848,0.8358090839999477,0.9558393479999268,2292.0
6,banana,1250,5000,float32,0.0014564880000307312,0.005139065999969716,0.10227296399989427,0.8370756159999928,0.9459441339998875,2292.0
7,banana,1250,5000,float32,0.0014230859999315726,0.008011102000068604,0.10907116300006692,0.8388687630000504,0.9573741140001175,2292.0
8,banana,1250,5000,float32,0.001395111999954679,0.004481281999915154,0.10230386499995348,0.8528310520000559,0.9610113109998792,2292.0
9,banana,1250,5000,float32,0.0014497070000061285,0.007630593000044428,0.1042890300000181,0.8567748880000181,0.9701442180000868,2292.0
