,,mean_kernel_s,mean_kernel_s,mean_kernel_s,mean_kernel_s,mean_transfer_s,mean_transfer_s,mean_transfer_s,mean_transfer_s
implementation,,Numba CUDA,Numba CUDA,PyTorch CUDA,PyTorch CUDA,Numba CUDA,Numba CUDA,PyTorch CUDA,PyTorch CUDA
platform,,Colab,Kaggle,Colab,Kaggle,Colab,Kaggle,Colab,Kaggle
object,dtype,,,,,,,,
apple,float32,0.13174143960000034,0.06907479279998366,0.22086534320000056,0.11178293930015568,1.1070466646999875,1.1286148388000583,2.130298092600003,2.620785893000084
apple,float64,0.16859200059999463,0.06522031750000676,0.4715105198999936,0.2132065795002745,1.0993980520000037,1.140627890199994,4.256807792000029,5.287600925899824
banana,float32,0.1053806187000077,0.05621671429998963,0.17603242169999475,0.09245745179987346,0.8742234139999937,0.9117856502999985,1.7335909669999865,2.0857363915999487
banana,float64,0.13592156800002608,0.05229194049998109,0.37047996399999195,0.17559414190000094,0.8937917609999999,0.9154103862000283,3.391101758900015,4.2263321264998925
vase,float32,0.13316545220000076,0.06908988589993893,0.22348972629997657,0.11377871189997672,1.1074390072000029,1.1486909133001517,2.1599301619999665,2.5949776247000953
vase,float64,0.17309682320001224,0.06520424500004081,0.4733431760999679,0.21657445610007922,1.1036857024000255,1.1404201304001618,4.281823971899996,5.347117297100067
